subject treatment test time
r1 control 1 132
r2 control 1 129
r3 control 1 137
r4 control 1 140
r5 control 1 133
r6 control 1 143
r7 control 1 138
r8 control 1 126
r9 control 1 140
r10 control 1 132
r11 thyroxin 1 130
r12 thyroxin 1 135
r13 thyroxin 1 133
r14 thyroxin 1 130
r15 thyroxin 1 132
r16 thyroxin 1 137
r17 thyroxin 1 137
r18 thyroxin 1 128
r19 thyroxin 1 130
r20 thyroxin 1 136
r21 thiouracil 1 130
r22 thiouracil 1 138
r23 thiouracil 1 138
r24 thiouracil 1 133
r25 thiouracil 1 131
r26 thiouracil 1 143
r27 thiouracil 1 136
r1 control 2 103
r2 control 2 96
r3 control 2 112
r4 control 2 122
r5 control 2 108
r6 control 2 119
r7 control 2 118
r8 control 2 98
r9 control 2 122
r10 control 2 107
r11 thyroxin 2 104
r12 thyroxin 2 118
r13 thyroxin 2 114
r14 thyroxin 2 104
r15 thyroxin 2 117
r16 thyroxin 2 116
r17 thyroxin 2 119
r18 thyroxin 2 103
r19 thyroxin 2 109
r20 thyroxin 2 110
r21 thiouracil 2 101
r22 thiouracil 2 114
r23 thiouracil 2 114
r24 thiouracil 2 111
r25 thiouracil 2 120
r26 thiouracil 2 128
r27 thiouracil 2 117
r1 control 3 75
r2 control 3 66
r3 control 3 78
r4 control 3 89
r5 control 3 85
r6 control 3 87
r7 control 3 95
r8 control 3 77
r9 control 3 99
r10 control 3 79
r11 thyroxin 3 68
r12 thyroxin 3 99
r13 thyroxin 3 81
r14 thyroxin 3 73
r15 thyroxin 3 92
r16 thyroxin 3 92
r17 thyroxin 3 84
r18 thyroxin 3 80
r19 thyroxin 3 88
r20 thyroxin 3 89
r21 thiouracil 3 89
r22 thiouracil 3 88
r23 thiouracil 3 97
r24 thiouracil 3 94
r25 thiouracil 3 96
r26 thiouracil 3 111
r27 thiouracil 3 100
r1 control 4 50
r2 control 4 43
r3 control 4 45
r4 control 4 60
r5 control 4 68
r6 control 4 58
r7 control 4 79
r8 control 4 59
r9 control 4 77
r10 control 4 50
r11 thyroxin 4 43
r12 thyroxin 4 79
r13 thyroxin 4 38
r14 thyroxin 4 41
r15 thyroxin 4 69
r16 thyroxin 4 73
r17 thyroxin 4 51
r18 thyroxin 4 69
r19 thyroxin 4 78
r20 thyroxin 4 83
r21 thiouracil 4 78
r22 thiouracil 4 66
r23 thiouracil 4 89
r24 thiouracil 4 86
r25 thiouracil 4 73
r26 thiouracil 4 99
r27 thiouracil 4 85
r1 control 5 42
r2 control 5 37
r3 control 5 29
r4 control 5 25
r5 control 5 38
r6 control 5 36
r7 control 5 48
r8 control 5 35
r9 control 5 49
r10 control 5 45
r11 thyroxin 5 33
r12 thyroxin 5 51
r13 thyroxin 5 25
r14 thyroxin 5 37
r15 thyroxin 5 45
r16 thyroxin 5 49
r17 thyroxin 5 43
r18 thyroxin 5 60
r19 thyroxin 5 67
r20 thyroxin 5 56
r21 thiouracil 5 67
r22 thiouracil 5 49
r23 thiouracil 5 70
r24 thiouracil 5 81
r25 thiouracil 5 49
r26 thiouracil 5 82
r27 thiouracil 5 67
